,Demonstrator_DER_velocity,Observer_VER_pupil
0,0.5424843241011688,0.28925329879505013
1,0.046586063417352504,0.1912249449617701
2,0.2384690290717665,0.608141439323148
3,0.18656408980253028,0.32252356267679977
4,0.10813961808364857,0.010393822597987252
5,0.010379498155858178,0.06615468984628582
6,0.008150568234001145,0.5878574180418253
7,0.2798841498951402,0.023830850949037845
8,0.2070406648186991,0.13214165963988903
9,0.2141252266914122,0.15676308158076796
10,0.7025891383702294,0.5768073931873275
11,0.1339789628658799,0.9607711393633308
12,0.16480996902879624,0.5934234272330806
13,0.3148117160661597,0.514447790684794
14,0.03794556178651891,0.11325046285485532
15,0.4703813395203762,0.37421682869831785
16,0.2834140491719521,0.5802143728987218
17,0.3750403584960933,0.13841669734865486
18,0.1250762621837332,0.30746748012554026
19,0.07133709715004047,0.4683621932753535
20,0.08696487327881378,0.9666802906174073
21,0.10083384235814086,0.8330692098735472
22,0.6033425504107818,0.340038051197004
23,0.30666005257265655,0.5943813753736911
24,0.3173430599698111,0.4500337030400455
25,0.3208068999864679,0.543356518145445
26,0.31627565541927116,0.543356518145445
27,0.1158803527945851,0.4500337030400455
28,0.3279777823843776,0.7644880406522245
29,0.7355312544160992,0.9040620513990381
30,0.2414976687723906,0.08022307404748166
31,0.2798166925066436,0.4634754894846331
