,up,in,ps
-0.9510286909841548,-0.2036850873505791,-0.1537600088820006,-0.16936251807574973
-0.8998294282946517,-0.24071385305169787,-0.11007987747828726,-0.13757442406298226
-0.8504679678092847,-0.2514074061704333,-0.07153399468254973,-0.10325211884515431
-0.8002572986018398,-0.2408130663771667,-0.038637721614149134,-0.06767189323696973
-0.7481008433314855,-0.2137974126375907,-0.011636781516845725,-0.03223071043269629
-0.6989774381700045,-0.17494167882875938,0.00946443545509337,0.0016266802229633291
-0.6492927812417596,-0.12845248607196544,0.024875323919433884,0.03247433573688151
-0.6009676134008259,-0.07808791178244172,0.03499227141716009,0.05896541824239708
-0.5474610452635412,-0.027098895435888275,0.04037262303230907,0.07988620004708759
-0.5001693383231517,0.02181401894817424,0.04170940248044963,0.0942037749534233
-0.4499339385465646,0.06652860360622662,0.03980678966581081,0.10110747585230159
-0.3980395140376155,0.10551353111374892,0.03555635470705336,0.10004399858946383
-0.3491316360993248,0.1378256217513892,0.02991404843169465,0.09074623210479077
-0.2980528169440125,0.1630917541543089,0.023877949339170885,0.07325579484448275
-0.2497089595893461,0.18147543924470702,0.018466767032556206,0.04793927744611817
-0.1983325555471916,0.19278507730804315,0.02066022278991598,0.007746017172976228
-0.1477176390753811,0.19518528742506094,0.025685536700383045,-0.02279373588025129
-0.0991449767622422,0.19756136443988964,0.030914270316772765,-0.07339500315172368
-0.0489156180404582,0.19624169002195932,0.02493694804478048,-0.13920333047152061
0.0,0.20203556399871425,0.028703947135491865,-0.1907504241003212
0.0521220338414423,0.2010535341572993,0.05068762063910669,-0.23832797350317567
0.1012746374356841,0.21940925205529202,0.08397676918498827,-0.27414633529837795
0.1539968752643593,0.24436203085974506,0.13058666193755986,-0.2983678607545308
0.2018704113152125,0.2619129127348654,0.19552541316496416,-0.3163688795310101
0.25059800151818,0.28523071644147646,0.26089324193104724,-0.30187885995695024
0.3032420831978015,0.3020541431623719,0.3213371639555822,-0.27191358372532515
0.3507181681707152,0.33082732259179115,0.3648404593820955,-0.2417593472394311
0.4018823801558635,0.35985689100821405,0.40741878789050573,-0.2133136419921532
0.4544401880172397,0.39913844268849186,0.4437950700346346,-0.19841790254191186
0.500961786299437,0.45835706994219677,0.47025300997106456,-0.19408566030838914
0.5546518514820491,0.552527197018246,0.49858559587207946,-0.2143224132727154
0.6035260631248699,0.6877785525813154,0.5460486824747657,-0.2530694652694146
0.650483875920448,0.8608330683447095,0.6130929122375648,-0.3132833191298774
0.7026700959722803,1.0823994851818914,0.7130671793234283,-0.3832492700267518
0.7545738337739749,1.3414657742502591,0.8515698081113557,-0.4426237636873359
0.8024157801419278,1.6306522841506779,1.0232399068713403,-0.4968412965288638
0.8518966773187154,1.932929456132825,1.2125231055414272,-0.5329465877345636
0.9049762183797916,2.216264839974058,1.4112765472867355,-0.5488700240051375
0.9541807372906989,2.476598883309693,1.591971897195944,-0.5554055281080791
1.0040558133074835,2.7076937316606564,1.736885134870776,-0.5365363364896906
1.0518216801377396,2.8955419079929055,1.826048944273535,-0.4994591571740672
1.1039060203135402,3.041509254186308,1.8673459324046975,-0.45865207125974766
1.1524598043297374,3.13654397279228,1.849188594217007,-0.40582878940622025
1.2048899949052914,3.17498817257152,1.798481228581595,-0.35273059575556287
1.2556130210911458,3.1752039371466823,1.7228210807563629,-0.2951855180623586
1.3018924737513469,3.1418389390357553,1.624125103011296,-0.2381472720198697
1.354919596074372,3.093124208128387,1.5309666447079195,-0.17587250479234126
1.4050757699321064,3.027781692874404,1.4383087920009685,-0.11075214598323771
1.454374994965595,2.9704015804336388,1.3563346592120584,-0.04821614918634482
1.5029244369734442,2.909889175956295,1.2953159716103468,0.016872614998362307
1.5533072133215076,2.8731504771924485,1.252702666554839,0.07948271658121696
1.6052162370466856,2.836347858249235,1.2389995174764186,0.16213876883429182
1.654256451846474,2.814385225756694,1.2198950269179902,0.24332938309715008
1.703496713665724,2.808918266117585,1.208617936914339,0.34683999965901463
1.753572969399708,2.8030480144554866,1.183901565030096,0.45659427963814836
1.8049349630085392,2.8049378259758755,1.144279305907949,0.5653754475052861
1.8533932228419872,2.782643448469229,1.0805099395779745,0.6777227372981599
1.9036445433160527,2.7497166374728446,1.0368501583798133,0.7658743960006666
1.953670268141953,2.7035089694572823,0.988745860561656,0.8377524483048144
2.0043637183292358,2.6488271540647754,0.9511604128070448,0.8820716603037217
2.0545774080649912,2.5863574758977754,0.9268692135981907,0.9067987142963941
2.10485314446972,2.514815304721166,0.9063566785906984,0.8866503353915486
2.151923094348907,2.426669631611636,0.9073671873348574,0.8580704836608012
2.203750941397629,2.3248198335385704,0.8960704428433609,0.814325031879696
2.2536987617850173,2.2197636699736543,0.88422659775807,0.7706625628951133
2.3054763925632265,2.174634624999035,0.882376204064506,0.764494419284364
2.3546680742322983,2.092058860933855,0.8820321262173898,0.7624851516780173
2.404393004860746,2.022473283913514,0.8848641095013998,0.7750675674516546
2.453215741680045,1.968194546565151,0.8889535604577,0.8011890260208351
2.5033656856997677,1.9303020870373153,0.8921952982017829,0.837614388926867
2.5527401722101786,1.9085680865068428,0.8926225851283446,0.879269381751482
2.605593991767819,1.9014533040198127,0.8888154056659285,0.9197788019260353
2.655523563134921,1.9061687886664582,0.8803919930813849,0.9521995724352098
2.703546174803705,1.918803469090122,0.8685836043339998,0.9699486414151792
2.7538012709370983,1.934517620330428,0.8568925429795121,0.9679257276462953
2.80129623420756,1.9478022080000552,0.8518334301237132,0.9438309119402236
2.8551862205549696,1.9528041097960422,0.8637577234260471,0.8996770744216973
2.904429314118109,1.9437172143448318,0.9077614841527182,0.8434971777045972
2.9536208070042758,1.9152393973812802,1.0046763922797555,0.7912463959625919
3.0052786864528875,1.8630953752619146,1.1821440096457565,0.768899089894433
