area,fold_change,pval_noshock_vs_demonstrator
Pineal body,,0.0010825146665191
Supraoptic nucleus,1.6269841269841268,0.1533425329520903
Nucleus circularis,,0.0010825146665191
Paraventricular hypothalamic nucleus,2.5030262273032955,0.1006682426437004
Arcuate hypothalamic nucleus,1.701799485861183,0.1004204343745638
Anterodorsal preoptic nucleus,3.115702479338843,0.0896169565487024
Anterior hypothalamic area,,0.0010825146665191
Anteroventral preoptic nucleus,1.6018237082066873,0.0797024965739667
Anteroventral periventricular nucleus,2.0273972602739723,0.1384552970814581
Dorsomedial nucleus of the hypothalamus,2.8316135084427767,0.027642496358512
Median preoptic nucleus,2.49076923076923,0.0896169565487024
Medial preoptic area,2.114727854855923,0.1006682426437004
Vascular organ of the lamina terminalis,2.692307692307692,0.2159669255738705
Posterodorsal preoptic nucleus,1.7,0.2921330877026455
Parastrial nucleus,2.754966887417219,0.042095917706895
Suprachiasmatic preoptic nucleus,,0.0010825146665191
Periventricular hypothalamic nucleus posterior part,3.072649572649573,0.054915915737236
Periventricular hypothalamic nucleus preoptic part,2.164882226980728,0.0896169565487024
Subparaventricular zone,2.3810930576070906,0.1250765039796911
Suprachiasmatic nucleus,1.0612244897959182,0.3745638048199731
Subfornical organ,0.3397435897435897,0.3475146971316147
Ventromedial preoptic nucleus,,
Ventrolateral preoptic nucleus,1.6647727272727273,0.22164426105822
Anterior hypothalamic nucleus,2.089683286296644,0.0799320987739866
Lateral mammillary nucleus,0.9853658536585368,0.3744300911127254
Medial mammillary nucleus,1.4793201133144476,0.2028586804772258
Supramammillary nucleus,2.4708520179372195,0.0799320987739866
Tuberomammillary nucleus,1.777777777777778,0.0799320987739866
Medial preoptic nucleus,1.7949999999999997,0.1533425329520903
Dorsal premammillary nucleus,2.825892857142857,0.1004204343745638
Ventral premammillary nucleus,3.333333333333334,0.0547202127628618
Paraventricular hypothalamic nucleus descending division,1.847117794486216,0.0799320987739866
Ventromedial hypothalamic nucleus,2.1543859649122807,0.054915915737236
Posterior hypothalamic nucleus,2.4706282989954027,0.048348783808818
Lateral hypothalamic area,1.5746126182124938,0.2614516172563353
Lateral preoptic area,1.9852316780505816,0.1855466847613487
Preparasubthalamic nucleus,1.526315789473684,0.1520064985296999
Parasubthalamic nucleus,1.859078590785908,0.3046400796520514
Perifornical nucleus,,
Retrochiasmatic area,1.2713178294573644,0.1855466847613487
Subthalamic nucleus,1.5244831338411315,0.2408603401374107
Tuberal nucleus,1.237261146496815,0.22164426105822
Zona incerta,1.7447329740323372,0.2614516172563353
Median eminence,,
Superior colliculus sensory related,1.9674103492582644,0.0368191350601513
Inferior colliculus,2.254906619778549,0.0799320987739866
Nucleus of the brachium of the inferior colliculus,1.7544378698224852,0.1533425329520903
Nucleus sagulum,1.3537906137184117,0.3989313542143315
Parabigeminal nucleus,1.5380710659898478,0.4239204770897563
Midbrain trigeminal nucleus,1.3344370860927153,0.3046400796520514
Subcommissural organ,,
Substantia nigra reticular part,1.0937708194536977,0.4491633936346191
Ventral tegmental area,1.3900200745626614,0.3046400796520514
Paranigral nucleus,,
Midbrain reticular nucleus retrorubral area,0.8846493162770181,0.3991489236642632
Midbrain reticular nucleus,1.434139642970318,0.350739054433307
Superior colliculus motor related,1.8514576747453464,0.1250765039796911
Periaqueductal gray,2.169501006936675,0.0799320987739866
Pretectal region,1.3918882379450204,0.350739054433307
Intercollicular nucleus,,0.0010825146665191
Cuneiform nucleus,1.8680497925311204,0.0626005148051577
Red nucleus,0.8425302826379542,0.4491633936346191
Oculomotor nucleus,4.120481927710842,0.0479821326875475
Medial accesory oculomotor nucleus,,
Edinger-Westphal nucleus,2.616161616161617,0.1069548719421349
Trochlear nucleus,2.9565217391304355,0.1095715070569416
Paratrochlear nucleus,,
