acro,Authorities_p_value,Authorities_z_score,Hubs_p_value,Hubs_z_score,color,structure
MOs,0.793421733240166,-0.8183514536809705,0.024785656215069365,1.963644677210716,#e15759,Isocortex
AUDd,0.7655080599676206,-0.7241333366464031,0.7257496375805363,-0.6000082687095158,#e15759,Isocortex
PERI,0.6626604078196022,-0.4197348211398273,0.49118941839065117,0.02208664856486269,#e15759,Isocortex
PL,0.6798287763218149,-0.4672200539406682,7.261811861535024e-05,3.799076540575787,#e15759,Isocortex
AOB,0.5869987322697912,-0.21983130835720927,0.5726766588405374,-0.1831928780279576,#76b7b2,Olfactory areas
PAR,0.6731723033285174,-0.44868986981469533,0.4951071975829435,0.012264744359062737,#edc948,Hippocampal formation
POST,0.7083318838469417,-0.5485180595324375,0.24276252589053332,0.6974438751363378,#edc948,Hippocampal formation
DG,0.6505688237561411,-0.3868566269726449,0.5971754146168563,-0.24604270991899738,#edc948,Hippocampal formation
PRE,0.7205972990169375,-0.5846168101779745,0.45403412892663464,0.11547547586177971,#edc948,Hippocampal formation
SUB,0.6836284816850599,-0.4778695761947188,0.19712989635983014,0.8519176629547066,#edc948,Hippocampal formation
BAC,0.4994465356922469,0.0013873297278413717,0.049747084223211155,1.6473108521101376,#bab0ac,Pallidum
ACB,0.24115358557802058,0.7025966173480535,0.18584944288497196,0.8932956147371032,#9c755f,Striatum
PRT,0.6403882852517055,-0.3594968558467297,0.42490085776803704,0.18937142915042157,#ff9da7,Midbrain
DR,0.5037469934097769,-0.009392457721691623,0.5335255824375756,-0.08413532976536368,#ff9da7,Midbrain
PAG,0.22234664204689875,0.7642919456580586,0.2861010583308847,0.5648113052188282,#ff9da7,Midbrain
SCm,0.5784955356817528,-0.1980461853408841,0.5359528694319715,-0.09024281565152546,#ff9da7,Midbrain
IC,0.6855101777456214,-0.4831635070073582,0.6573170705356,-0.40515189988545397,#ff9da7,Midbrain
VTA,0.21659243418016572,0.7837533213653877,0.3028866503855532,0.5161161330409357,#ff9da7,Midbrain
CUN,0.7078010630758221,-0.5469721381386243,0.37545213901305236,0.31744722545664467,#ff9da7,Midbrain
LH,0.12885695485271537,1.1318109819477182,0.5625912470338528,-0.15754225886298526,#b07aa1,Thalamus
PVT,0.023576796666896986,1.9849180185066981,0.5008918465202368,-0.0022355295662996777,#b07aa1,Thalamus
POL,0.6084750750729337,-0.27534675106965834,0.7625774936602479,-0.7146181722826297,#b07aa1,Thalamus
MD,0.14054762087475614,1.0778622332064236,0.6803059804218738,-0.4685545942143967,#b07aa1,Thalamus
SPF,0.21717582188350587,0.7817667862989802,0.7162458816376341,-0.571725085701284,#b07aa1,Thalamus
AM,0.068283512605662,1.4886975699388376,0.6271231185243713,-0.32424340526505824,#b07aa1,Thalamus
PR,0.03231957742259987,1.8477455937346556,0.6385179803482324,-0.35450021984442914,#b07aa1,Thalamus
IAD,0.1986979959181644,0.8462810228414562,0.6389068142288326,-0.3555382811433366,#b07aa1,Thalamus
PVp,0.7095383456075139,-0.5520365546023791,0.4418095217647483,0.14638300412044145,#f28e2b,Hypothalamus
AVPV,0.6546393311341512,-0.3978763448034705,0.6328671438433886,-0.33945669822896407,#f28e2b,Hypothalamus
AHN,0.6163302701549301,-0.2958567787525579,0.45557217127679855,0.11159524482255259,#f28e2b,Hypothalamus
LPO,0.5013927247546832,-0.003491050340011089,0.4791285203285471,0.052340929892794326,#f28e2b,Hypothalamus
MPO,0.6564428778129097,-0.40277433356754405,0.5407560821592586,-0.10233870341193675,#f28e2b,Hypothalamus
PSTN,0.3874958825999749,0.2858516260499731,0.3672649963074288,0.3391058486656853,#f28e2b,Hypothalamus
TM,0.6838198132267457,-0.4784072512856036,0.4645021618113073,0.08909762656339418,#f28e2b,Hypothalamus
PVHd,0.3848441985367528,0.2927825108649181,0.3120926876891227,0.4899272557570412,#f28e2b,Hypothalamus
LHA,0.44870729197777537,0.1289280465270372,0.2782118792569701,0.5881617055757884,#f28e2b,Hypothalamus
TU,0.6820198371811312,-0.4733544439166863,0.5327931973729332,-0.08229314522140131,#f28e2b,Hypothalamus
SUM,0.6514391454994505,-0.38920878002855125,0.21227005052507347,0.7985694617113354,#f28e2b,Hypothalamus
PMv,0.6984813302552926,-0.5200376419296386,0.42133875602835014,0.19846979847060037,#f28e2b,Hypothalamus
PST,0.2400207610066471,0.7062357815367,0.5034057755745487,-0.008537117051961429,#f28e2b,Hypothalamus
ADP,0.6677524872932481,-0.4337155332166148,0.5883377934810187,-0.22327123540762267,#f28e2b,Hypothalamus
PMd,0.7342369583262938,-0.6256781261788901,0.2696203797258767,0.6139615139645795,#f28e2b,Hypothalamus
ZI,0.435817813856371,0.1615812447762699,0.31736867846129957,0.47506961228098754,#f28e2b,Hypothalamus
VMH,0.7805924987906356,-0.774195815582383,0.5143115034138375,-0.03588131696959011,#f28e2b,Hypothalamus
