,sub,cond,val
0,0,up,2.763226666429106
1,0,inv,2.524196910915451
2,0,ps,1.3668810604442394
3,1,up,2.9791762747381356
4,1,inv,4.044395100505559
5,1,ps,-0.5639457276738453
6,2,up,7.227423379921353
7,2,inv,1.3795077288772708
8,2,ps,1.3020451736263048
9,3,up,3.638981331921722
10,3,inv,0.9335823490045595
11,3,ps,-1.3018406162181309
12,4,up,3.725660889949882
13,4,inv,1.3092179138745812
14,4,ps,0.6360221134030275
15,5,up,1.2572907593191325
16,5,inv,1.765983505751164
17,5,ps,-0.9344338521328049
18,6,up,-1.463482717481122
19,6,inv,3.1068170612692696
20,6,ps,0.25955731020008743
21,7,up,3.930172237061626
22,7,inv,1.8823090900356916
23,7,ps,1.459093172420203
24,8,up,-1.045153461785139
25,8,inv,-1.159367258810334
26,8,ps,0.8425688507633294
27,9,up,7.414944928815139
28,9,inv,0.9838067983375541
29,9,ps,1.6235425247370288
30,10,up,3.4670206740280642
31,10,inv,3.8235804561926137
32,10,ps,1.7620106451892823
33,11,up,2.3704624961237903
34,11,inv,-1.712890209387765
35,11,ps,0.0710007953490728
36,12,up,4.675216428850892
37,12,inv,0.5513940533834903
38,12,ps,0.25468682606722054
39,13,up,3.4569828509781453
40,13,inv,2.841148809623026
41,13,ps,1.0335042984450586
42,14,up,2.5176881150876724
43,14,inv,1.1875408007010098
44,14,ps,-2.2255619002475044
45,15,up,2.8631003325668116
46,15,inv,1.2843359393151688
47,15,ps,0.6864368066030828
48,16,up,-0.1712522554310699
49,16,inv,2.5976534631644888
50,16,ps,-2.793231243919299
51,17,up,2.99859703523882
52,17,inv,-1.7829208560819236
53,17,ps,-2.5507942104474504
